1.01495532029840815E+4 -4.33911434207969724E+4 7.98533070813937666E+4 -7.86589121627444692E+4 4.14384977985485020E+4 -9.36878701410286885E+3
-4.33911434207969724E+4 1.87006319343270035E+5 -3.46527427216041717E+5 3.43526149682672811E+5 -1.82105354947356158E+5 4.14384977985485020E+4
7.98533070813937666E+4 -3.46527427216041717E+5 6.46080867636206094E+5 -6.44241725441453862E+5 3.43526149682672811E+5 -7.86589121627444692E+4
-7.86589121627444692E+4 3.43526149682672811E+5 -6.44241725441453862E+5 6.46080867636206094E+5 -3.46527427216041717E+5 7.98533070813937666E+4
4.14384977985485020E+4 -1.82105354947356158E+5 3.43526149682672811E+5 -3.46527427216041717E+5 1.87006319343270035E+5 -4.33911434207969724E+4
-9.36878701410286885E+3 4.14384977985485020E+4 -7.86589121627444692E+4 7.98533070813937666E+4 -4.33911434207969724E+4 1.01495532029840815E+4

6.198154413828288689E+0 -1.457870288360315847E+1 8.880548469769111719E+0 8.880548469773117404E+0 -1.457870288361116984E+1 6.198154413827788645E+0

2.69093477729340666E+4 -1.18760717924963697E+5 2.21738698701371002E+5 -2.18473923214483541E+5 1.13535864318182255E+5 -2.49229688603067771E+4
-1.18760717924963697E+5 5.27960278438832145E+5 -9.92219132336361217E+5 9.83596672992079286E+5 -5.14178380302917794E+5 1.13535864318182255E+5
2.21738698701371002E+5 -9.92219132336361217E+5 1.87610361960852286E+6 -1.87070559473955585E+6 9.83596672992079286E+5 -2.18473923214483541E+5
-2.18473923214483541E+5 9.83596672992079286E+5 -1.87070559473955585E+6 1.87610361960852286E+6 -9.92219132336361217E+5 2.21738698701371002E+5
1.13535864318182255E+5 -5.14178380302917794E+5 9.83596672992079286E+5 -9.92219132336361217E+5 5.27960278438832145E+5 -1.18760717924963697E+5
-2.49229688603067771E+4 1.13535864318182255E+5 -2.18473923214483541E+5 2.21738698701371002E+5 -1.18760717924963697E+5 2.69093477729340666E+4

1.071761416473430018E+1 -2.665663946077842539E+1 1.643902529601151130E+1 1.643902529607080965E+1 -2.665663946079621383E+1 1.071761416473430018E+1

7.795042160878816462E−2 2.269252977160159945E−1 3.557380180911379752E−1 4.529461196132943956E−1 5.099362658787808256E−1

1.912402678501005084E+3 -4.927004100469148398E+3 5.835905613163729868E+3 -4.322722449499965478E+3 1.501418877063505988E+3
-1.217699386087176026E+4 3.159481253500127059E+4 -3.785475949046354799E+4 2.836995380606032268E+4 -9.933019743019915040E+3
3.246330126827143977E+4 -8.462064453664862958E+4 1.021891619223469461E+5 -7.724212924975770875E+4 2.721034680139671400E+4
-4.342904595880888519E+4 1.135281945624359505E+5 -1.377799817082234076E+5 1.047254797516023391E+5 -3.704478343160567601E+4
2.123096597676863894E+4 -5.557555073910982173E+4 6.760976692036786699E+4 -5.153062474798672338E+4 1.826604930348573544E+4
2.123096597676863894E+4 -5.557555073910982173E+4 6.760976692036786699E+4 -5.153062474798672338E+4 1.826604930348573544E+4
-4.342904595880888519E+4 1.135281945624359505E+5 -1.377799817082234076E+5 1.047254797516023391E+5 -3.704478343160567601E+4
3.246330126827143977E+4 -8.462064453664862958E+4 1.021891619223469461E+5 -7.724212924975770875E+4 2.721034680139671400E+4
-1.217699386087176026E+4 3.159481253500127059E+4 -3.785475949046354799E+4 2.836995380606032268E+4 -9.933019743019915040E+3
1.912402678501005084E+3 -4.927004100469148398E+3 5.835905613163729868E+3 -4.322722449499965478E+3 1.501418877063505988E+3

-4.904230619110763655E+4 4.323751412374444772E+4 -3.246339075532347488E+4 1.875968952461114532E+4 -5.760491925503920356E+3
4.103555938606222626E+5 -3.637390867586739478E+5 2.755014430530755781E+5 -1.606389018624043674E+5 4.963098826150417153E+4
-1.555126539182490204E+6 1.383601738371265586E+6 -1.054523731121562887E+6 6.189727207369643729E+5 -1.921388961754927877E+5
3.501335761714349966E+6 -3.122480589327111840E+6 2.389400028862954117E+6 -1.408673167242457159E+6 4.386664738897074712E+5
-5.159499149133198895E+6 4.606470743687568232E+6 -3.531921534316427074E+6 2.086791191489480436E+6 -6.508774765937846387E+5
5.159499149133198895E+6 -4.606470743687568232E+6 3.531921534316427074E+6 -2.086791191489480436E+6 6.508774765937846387E+5
-3.501335761714349966E+6 3.122480589327111840E+6 -2.389400028862954117E+6 1.408673167242457159E+6 -4.386664738897074712E+5
1.555126539182490204E+6 -1.383601738371265586E+6 1.054523731121562887E+6 -6.189727207369643729E+5 1.921388961754927877E+5
-4.103555938606222626E+5 3.637390867586739478E+5 -2.755014430530755781E+5 1.606389018624043674E+5 -4.963098826150417153E+4
4.904230619110763655E+4 -4.323751412374444772E+4 3.246339075532347488E+4 -1.875968952461114532E+4 5.760491925503920356E+3
